store_name,product_name,analysis_month,monthly_inventory,monthly_sales,inventory_sales_diff,inventory_status
"Central Square","PlayOn Toys Item 1",24-01,-5,1,-6,"inventory issue"
"Central Square","UrbanX Sports Item 3",24-01,0,1,-1,"within demand"
"Central Square","PlayOn Beauty Item 4",24-01,50,0,50,"inventory issue"
"Central Square","Freshly Beauty Item 5",24-01,-8,0,-8,"inventory issue"
"Central Square","PlayOn Beauty Item 6",24-01,-9,0,-9,"inventory issue"
"Central Square","PlayOn Toys Item 7",24-01,-1,0,-1,"within demand"
"Central Square","Luxe Home Item 8",24-01,15,0,15,"inventory issue"
"Central Square","EcoWare Grocery Item 9",24-01,1,1,0,"within demand"
"Central Square","Luxe Beauty Item 11",24-01,-2,5,-7,"inventory issue"
"Central Square","UrbanX Fashion Item 12",24-01,23,0,23,"inventory issue"
"Central Square","Freshly Electronics Item 13",24-01,-3,0,-3,"within demand"
"Central Square","EcoWare Toys Item 15",24-01,-3,3,-6,"inventory issue"
"Central Square","EcoWare Fashion Item 16",24-01,-2,0,-2,"within demand"
"Central Square","PlayOn Home Item 17",24-01,0,8,-8,"inventory issue"
"Central Square","Nova Books Item 18",24-01,3,4,-1,"within demand"
"Central Square","Crafto Beauty Item 19",24-01,-1,0,-1,"within demand"
"Central Square","PlayOn Grocery Item 20",24-01,0,2,-2,"within demand"
"Central Square","Luxe Books Item 21",24-01,44,5,39,"inventory issue"
"Central Square","Crafto Grocery Item 22",24-01,-2,5,-7,"inventory issue"
"Central Square","EcoWare Grocery Item 24",24-01,3,0,3,"within demand"
"Central Square","Nova Electronics Item 25",24-01,34,0,34,"inventory issue"
"Central Square","UrbanX Grocery Item 26",24-01,62,0,62,"inventory issue"
"Central Square","PlayOn Fashion Item 28",24-01,0,3,-3,"within demand"
"Central Square","Zenon Fashion Item 30",24-01,11,0,11,"inventory issue"
"Central Square","UrbanX Fashion Item 31",24-01,3,0,3,"within demand"
"Central Square","Acme Grocery Item 32",24-01,10,0,10,"inventory issue"
"Central Square","Nova Electronics Item 33",24-01,0,5,-5,"within demand"
"Central Square","EcoWare Fashion Item 34",24-01,26,3,23,"inventory issue"
"Central Square","Luxe Home Item 35",24-01,0,2,-2,"within demand"
"Central Square","Pulse Grocery Item 36",24-01,-2,4,-6,"inventory issue"
"Central Square","Pulse Fashion Item 37",24-01,20,0,20,"inventory issue"
"Central Square","PlayOn Home Item 39",24-01,2,0,2,"within demand"
"Central Square","Pulse Books Item 40",24-01,5,0,5,"within demand"
"Central Square","UrbanX Toys Item 41",24-01,0,3,-3,"within demand"
"Central Square","Luxe Beauty Item 42",24-01,32,1,31,"inventory issue"
"Central Square","UrbanX Home Item 43",24-01,0,5,-5,"within demand"
"Central Square","Nova Sports Item 45",24-01,13,0,13,"inventory issue"
"Central Square","Pulse Beauty Item 46",24-01,40,0,40,"inventory issue"
"Central Square","Luxe Sports Item 47",24-01,19,4,15,"inventory issue"
"Central Square","Crafto Beauty Item 49",24-01,-2,2,-4,"within demand"
"Central Square","Pulse Toys Item 50",24-01,2,9,-7,"inventory issue"
"Central Square","Crafto Books Item 51",24-01,-2,0,-2,"within demand"
"Central Square","Luxe Fashion Item 52",24-01,2,0,2,"within demand"
"Central Square","UrbanX Books Item 53",24-01,0,2,-2,"within demand"
"Central Square","EcoWare Electronics Item 54",24-01,9,0,9,"inventory issue"
"Central Square","Luxe Beauty Item 55",24-01,-2,5,-7,"inventory issue"
"Central Square","PlayOn Electronics Item 57",24-01,-2,2,-4,"within demand"
"Central Square","EcoWare Electronics Item 58",24-01,-1,1,-2,"within demand"
"Central Square","Pulse Home Item 59",24-01,0,2,-2,"within demand"
"Central Square","Nova Beauty Item 60",24-01,-10,0,-10,"inventory issue"
"Central Square","Acme Fashion Item 62",24-01,0,1,-1,"within demand"
"Central Square","Crafto Grocery Item 63",24-01,-1,0,-1,"within demand"
"Central Square","Nova Electronics Item 64",24-01,23,3,20,"inventory issue"
"Central Square","Acme Grocery Item 65",24-01,-2,4,-6,"inventory issue"
"Central Square","Nova Electronics Item 66",24-01,30,0,30,"inventory issue"
